PROVEEDOR,NUMERODELICITACION,TIPODECOMPRA,NUMERO DE CONTRATO,CODIGOSSA,CLAVEARTICULO,NOMBREMEDICAMENTO,UNIDADDEMEDIDA,MARCA,LABORATORIO,PRECIOUNITARIOCONDESCUENTO,SURTIDO
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2314,SUBROGADA,HGMGG-LPN-01-2314,010.000.4114.00,02-01-0538,"NITROGLICERINA, 50 MG/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$205.98,67
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2315,SUBROGADA,HGMGG-LPN-01-2315,010.000.0569.00,02-01-0717,"NITROPRUSIATO, 50 MG/10 ML O 50 MG/2 ML",ÁMPULA,,PROARTCAR,"$7,064.74",14
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2316,SUBROGADA,HGMGG-LPN-01-2316,010.000.0612.00  (50),02-01-0459,"NOREPINEFRINA, 4 MG/4 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$71.17,7661
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2317,SUBROGADA,HGMGG-LPN-01-2317,010.000.5171.00,02-01-0578,"OCTREOTIDA, 1 MG/5 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$455.14,300
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2318,SUBROGADA,HGMGG-LPN-01-2318,FCB,02-01-0600,"OFLOXACINA, 400 MG",ÁMPULA,,OC-XAL,$2.40,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2319,SUBROGADA,HGMGG-LPN-01-2319,"010.000.5186.00
010.000.5186.01
010.000.5186.02",02-01-0503,"OMEPRAZOL, 20 MG",AMPULA,,"ULTRA LABORATORIOS, S.A. DE C.V.",$0.40,215
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2320,SUBROGADA,HGMGG-LPN-01-2320,FCB,02-01-0832,"OMEPRAZOL, 40 MG",TABLETA,,"FARMACEUTICOS RAYERE, S.A.",$8.84,353
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2321,SUBROGADA,HGMGG-LPN-01-2321,010.000.5187.00,02-01-0594,"OMEPRAZOL, 40 MG/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$54.16,10395
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2322,SUBROGADA,HGMGG-LPN-01-2322,010.000.5428.00  (3),02-07-0011,"ONDANSENTRON,  8 MG/4 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$31.30,2114
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2323,SUBROGADA,HGMGG-LPN-01-2323,FCB,,"ONDANSETRON 4 MG/ METOCLOPRAMIDA 10MG , 20ML",AMPULA,,CLODASET,$449.77,
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2324,SUBROGADA,HGMGG-LPN-01-2324,010.000.5428.00,02-01-0547,"ONDANSETRON, 4 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$41.86,6478
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2325,SUBROGADA,HGMGG-LPN-01-2325,010.000.2195.00,,"ONDANSETRON, 8MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$36.62,157
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2326,SUBROGADA,HGMGG-LPN-01-2326,010.000.1551.00 (3),02-01-0219,"ORCIPRENALINA, 0.5 MG/ML",ÁMPULA,,"VITALIS-PHARMA DE MEXICO, S.A. DE C.V.",$12.47,10
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2327,SUBROGADA,HGMGG-LPN-01-2327,"040.000.4033.00
040.000.4033.01",02-02-0072,"OXICODONA, 10 MG",COMPRIMIDO DE LIBERACIÓN PROLONGADA,,"PISICOFARMA, S.A. DE C.V.",$35.70,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2328,SUBROGADA,HGMGG-LPN-01-2328,"040.000.4032.00
040.000.4032.01",02-02-0101,"OXICODONA, 20 MG ",TABLETA DE LIBERACIÓN PROLONGADA,,"PISICOFARMA, S.A. DE C.V.",$74.82,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2329,SUBROGADA,HGMGG-LPN-01-2329,FCB,02-02-0103,"OXICODONA, 5 MG",TABLETA,,"PISICOFARMA, S.A. DE C.V.",$11.31,30
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2330,SUBROGADA,HGMGG-LPN-01-2330,FCB,02-02-0093,"OXICODONA/PARACETAMOL,  5 MG/325 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$23.52,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2331,SUBROGADA,HGMGG-LPN-01-2331,010.000.2198.00,02-01-0221,"OXIMETAZOLINA, 0.5% 50.0 MG/100 ML",FRASCO,,"FARMACEUTICOS COLLINS, S.A. DE C.V.",$60.62,275
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2332,SUBROGADA,HGMGG-LPN-01-2332,010.000.2199.00,02-01-0222,"OXIMETAZOLINA, 0.025 %,  0.5 MG/20 ML",FRASCO,,"FARMACEUTICOS COLLINS, S.A. DE C.V.",$78.57,67
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2333,SUBROGADA,HGMGG-LPN-01-2333,010.000.1542.00  (50),02-01-0223,"OXITOCINA SINTETICA, 5 UI/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$3.73,3886
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2334,SUBROGADA,HGMGG-LPN-01-2334,010.000.5721.00/010.000.5721.00  (1 y 4),02-01-0729,"PARACETAMOL, 1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$129.68,25783
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2335,SUBROGADA,HGMGG-LPN-01-2335,010.000.0106.00,02-01-0009,"PARACETAMOL, 1.5 G/15 ML",FRASCO GOTERO,,"LABORATORIOS SOLFRAN, S.A.",$5.47,10
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2336,SUBROGADA,HGMGG-LPN-01-2336,010.000.0105.00  (3),02-01-0008,"PARACETAMOL, 300 MG",SUPOSITORIO,,PIREMOL,$2.02,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2337,SUBROGADA,HGMGG-LPN-01-2337,FCB,02-01-0732,"PARACETAMOL, 3200 MG/100 ML",FRASCO,,PIREMOL,$23.00,96
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2338,SUBROGADA,HGMGG-LPN-01-2338,010.000.0104.00  (10),02-01-0010,"PARACETAMOL, 500 MG",COMPRIMIDO,,"IMPORTADORA Y MANUFACTURERA BRULUART, S.A.",$0.39,4820
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2339,SUBROGADA,HGMGG-LPN-01-2339,FCB,02-02-0071,"PARACETAMOL/CODEINA, 300 MG/60 MG",TABLETA,,TYLEX CD,$14.38,#¡VALOR!
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2340,SUBROGADA,HGMGG-LPN-01-2340,010.000.5481.00,02-01-0689,"PAROXETINA, 20 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.24,7
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2341,SUBROGADA,HGMGG-LPN-01-2341,010.000.4122.00/010.000.4122.01  (4 Y 5),02-01-0551,"PENTOXIFILINA, 300 MG/15 ML",ÁMPULA,,TRENTAL,$117.20,17
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2342,SUBROGADA,HGMGG-LPN-01-2342,010.000.4117.00  (30),02-01-0234,"PENTOXIFILINA, 400 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.12,36
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2343,SUBROGADA,HGMGG-LPN-01-2343,010.000.2851.00,02-01-0466,"PILOCARPINA, 20 MG/ ML, 2%",FRASCO GOTERO,,"PHARMACOS EXAKTA, S.A. DE C.V.",$145.66,20
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2344,SUBROGADA,HGMGG-LPN-01-2344,010.000.4592.00,02-01-0660,PIPERACILINA/TAZOBACTAM 4 G/500 MG,FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$73.06,580
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2345,SUBROGADA,HGMGG-LPN-01-2345,FCB,02-01-0819,"PIRFENIDONA GEL, 30 G",TUBO,,,,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2346,SUBROGADA,HGMGG-LPN-01-2346,010.000.2824.00,02-01-0238,"POLIMIXIMA/NEOMICINA, 500000 UI,  3.5 MG",TUBO,,GLUBACIDA,$23.29,1237
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2347,SUBROGADA,HGMGG-LPN-01-2347,010.000.2824.00,02-01-0544,"POLIMIXINA/NEOMICINA/BACITRACINA, 40  G",TUBO,,UCB DE MEXICO S A DE C V,$223.53,1
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2348,SUBROGADA,HGMGG-LPN-01-2348,010.000.0573.00,02-01-0335,"PRAZOSINA, 1 MG",CÁPSULA,,"LABORATORIO BIOQUIMICO MEXICANO, S.A. DE C.V.",$0.53,1831
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2349,SUBROGADA,HGMGG-LPN-01-2349,010.000.2841.00,02-01-0833,"PREDNISOLONA 1%, 5MG/ML",FRASCO GOTERO,,"LABORATORIOS PISA, S.A. DE C.V.",$37.61,6
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2350,SUBROGADA,HGMGG-LPN-01-2350,FCB,02-01-0834,"PREDNISONA, 20 MG",TABLETA,,"IMPORTADORA Y MANUFACTURERA BRULUART, S.A.",$17.99,535
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2351,SUBROGADA,HGMGG-LPN-01-2351,010.000.0472.00  (20),02-01-0243,"PREDNISONA, 5 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$0.44,156
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2352,SUBROGADA,HGMGG-LPN-01-2352,010.000.0473.00  (20),02-01-0244,"PREDNISONA, 50 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.42,182
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2353,SUBROGADA,HGMGG-LPN-01-2353,010.000.4058.00  ,02-01-0169,"PRILOCAINA/FELIPRESINA, 5.4 MG/ 0.054 MG, 1.8  ML",CARTUCHO DENTAL,,PRISTESIN-F,$7.27,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2354,SUBROGADA,HGMGG-LPN-01-2354,FCB,02-01-0835,"PROGESTERONA MICRONIZADA, 100 MG",PERLA,,"LABORATORIES BESINS INTERNATIONAL, S.A. ",$24.35,10
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2355,SUBROGADA,HGMGG-LPN-01-2355,FCB,02-01-0784,"PROGESTERONA,  200MG/2ML",JERINGA PRELLENADA,,"FERRING, S.A. DE C.V.",$973.86,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2356,SUBROGADA,HGMGG-LPN-01-2356,MISMA CONCENTRACIÓN VOLÚMEN DIFERENTE AL CBMSS(010.000.0245.00),02-01-0659,"PROPOFOL 1%, 1 G/100 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$776.94,2012
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2357,SUBROGADA,HGMGG-LPN-01-2357,FCB,02-01-0692,"PROPOFOL 2%, 20 MG/ML, 50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.","$1,058.94",572
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2358,SUBROGADA,HGMGG-LPN-01-2358,010.000.0244.00/010.000.0246.00  (5),02-01-0246,"PROPOFOL 2%, 200 MG/20 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$681.62,2302
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2359,SUBROGADA,HGMGG-LPN-01-2359,010.000.0245.00,02-01-0614,"PROPOFOL,  500 MG / 50 ML",FRASCO ÁMPULA,,FRESOFOL 1%,$386.22,870
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2360,SUBROGADA,HGMGG-LPN-01-2360,FCB,02-01-0247,"PROPRANOLOL, 10  MG/ML",ÁMPULA,,"LABORATORIO ICARO, S.A.",$833.34,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2361,SUBROGADA,HGMGG-LPN-01-2361,010.000.0530.00  (30),02-01-0248,"PROPRANOLOL, 40 MG",TABLETA,,SINTASER,$0.32,836
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2362,SUBROGADA,HGMGG-LPN-01-2362,FCB,02-01-0849,"PROSTAGLANDINAS, 500 MCG/ML",ÁMPULA,,CARINTIA PHARMA S.A.P.I. DE C.V.,"$7,035.07",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2363,SUBROGADA,HGMGG-LPN-01-2363,010.000.5236.00,02-01-0743,"RANIBIZUMAB,  2.3 MG/0.23 ML ",FRASCO ÁMPULA,,LUCENTIS,"$10,403.25",305
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2364,SUBROGADA,HGMGG-LPN-01-2364,010.000.1233.00  (20),02-01-0252,"RANITIDINA, 150 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$0.44,175
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2365,SUBROGADA,HGMGG-LPN-01-2365,010.000.2151.00,02-01-0504,"RANITIDINA, 150 MG/10 ML",FRASCO,,PHARTIDINE,$77.71,8
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2366,SUBROGADA,HGMGG-LPN-01-2366,010.000.1234.00  (5),02-01-0251,"RANITIDINA, 50 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$2.58,6037
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2367,SUBROGADA,HGMGG-LPN-01-2367,040.000.0248.00,02-02-0086,"REMIFENTANILO, 2 MG",FRASCO ÁMPULA,,"ASPEN LABS, S.A. DE C.V.",$175.00,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2368,SUBROGADA,HGMGG-LPN-01-2368,010.000.2414.00  (240),02-01-0514,"RIFAMPICINA 150 MG, ISONIACIDA 75 MG, PIRAZINAMIDA 400 MG, ETAMBUTOL 300 MG",TABLETA,,RINIMIDA,$2.57,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2369,SUBROGADA,HGMGG-LPN-01-2369,010.000.2410.00,02-01-0528,"RIFAMPICINA, 100 MG/5 ML",FRASCO,,"SANOFI AVENTIS WINTHROP, S.A. DE C.V.",$439.04,2
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2370,SUBROGADA,HGMGG-LPN-01-2370,010.000.2409.00/010.000.2409.01  (1000 Y 120),02-01-0254,"RIFAMPICINA, 300 MG",CÁPSULA,,EURIFAM,$59.60,81
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2371,SUBROGADA,HGMGG-LPN-01-2371,040.000.3262.00,02-02-0085,"RISPERIDONA, 100 MG/100 ML, 60 ML",FRASCO GOTERO,,"LABORATORIOS PISA, S.A. DE C.V.",$538.07,19
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2372,SUBROGADA,HGMGG-LPN-01-2372,040.000.3258.00  (40),02-02-0078,"RISPERIDONA, 2 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$0.49,124
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2373,SUBROGADA,HGMGG-LPN-01-2373,010.000.4059.00  (12),02-01-0611,"ROCURONIO, BROMURO DE, 50 MG/5 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$212.70,3531
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2374,SUBROGADA,HGMGG-LPN-01-2374,010.000.0270.00  (5),02-01-0733,"ROPIVACAINA  75%, 7.5 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$164.78,1162
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2375,SUBROGADA,HGMGG-LPN-01-2375,010.000.0269.00  (5),02-01-0720,"ROPIVACAINA, 2MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$82.38,1014
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2376,SUBROGADA,HGMGG-LPN-01-2376,010.000.0439.00,02-01-0256,"SALBUTAMOL, 0.50 G/10 ML, P/RESPIRADOR",FRASCO,,"LABORATORIOS PISA, S.A. DE C.V.",$25.75,431
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2377,SUBROGADA,HGMGG-LPN-01-2377,010.000.0429.00,02-01-0257,"SALBUTAMOL, 20 MG",INHALADOR,,"INTER LAB PHARMACEUTICA, S.A. DE C.V.",$26.92,44
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2378,SUBROGADA,HGMGG-LPN-01-2378,010.000.2188.00,02-01-0671,"SALBUTAMOL/BROMURO DE IPRATROPIO, 2.5 MG",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$13.38,5726
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2379,SUBROGADA,HGMGG-LPN-01-2379,010.000.1272.00 (20),02-01-0502,"SENOSIDOS A - B, 8.6. MG",TABLETA,,SEKELAX,$0.79,3744
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2380,SUBROGADA,HGMGG-LPN-01-2380,040.000.4484.00  (14),02-01-0612,"SERTRALINA, 50 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$15.68,243
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2381,SUBROGADA,HGMGG-LPN-01-2381,010.000.5176.00  (40),02-01-0262,"SUCRALFATO,  1 G",TABLETA,,ALIVOATO,$1.02,1333
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2382,SUBROGADA,HGMGG-LPN-01-2382,FCB,02-02-0087,"SUFENTANILO,  0.250 MG/5 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$165.54,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2383,SUBROGADA,HGMGG-LPN-01-2383,FCB,02-01-0776,"SUGAMMADEX , 200 MG/ML ",FRASCO ÁMPULA,,"MERCK SHARP & DOHME DE MEXICO, S.A. DE C.V.","$2,443.04",363
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2384,SUBROGADA,HGMGG-LPN-01-2384,FCB,02-01-0741,"SULFADIAZINA DE PLATA 1%, 160 G",TUBO,,ARGENTAFIL,$346.77,7
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2385,SUBROGADA,HGMGG-LPN-01-2385,FCB,F.C.B.,"SULFADIAZINA DE PLATA MICRONIZADA,  SPRAY",FRASCO  ,,ARGENTAFIL,$540.98,6
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2386,SUBROGADA,HGMGG-LPN-01-2386,010.000.4126.00,02-01-0266,"SULFADIAZINA PLATA, 375 G",TARRO,,BIOARGIROL-C,$211.32,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2387,SUBROGADA,HGMGG-LPN-01-2387,010.000.3629.00  (100),02-01-0267,"SULFATO  DE  MAGNESIO, 1 G/10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.31,7298
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2388,SUBROGADA,HGMGG-LPN-01-2388,010.000.1703.00  (30),02-01-0269,"SULFATO  FERROSO  DESECADO, 200 MG",TABLETA,,"BIORESEARCH DE MEXICO, S.A. DE C.V.",$0.26,34
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2389,SUBROGADA,HGMGG-LPN-01-2389,FCB,02-01-0780,"SULFATO DE ZINC, 10 ML",AMPULA,,BIOSANO,$862.50,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2390,SUBROGADA,HGMGG-LPN-01-2390,FCB,02-01-0270,"SULFATO FERROSO,  125 MG/ ML, 15 ML",FRASCO,,FORRCIL,$21.74,13
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2391,SUBROGADA,HGMGG-LPN-01-2391,010.000.0252.00  (5),02-01-0261,"SUXAMETONIO, 40 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$49.94,320
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2392,SUBROGADA,HGMGG-LPN-01-2392,FCB,02-01-0839,"TAPENTADOL, 100 MG",TABLETA DE LIBERACIÓN PROLONGADA,,PALEXIA RETARD,$42.55,0
